,Adrián,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Rhian Brewster,Alisson Becker,Caoimhín Kelleher,Ki-Jana Hoever,Fabinho,Andy Lonergan,Takumi Minamino,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Xherdan Shaqiri,Neco Williams,Roberto Firmino,Harvey Elliott,Sadio Mané,Divock Origi,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georginio Wijnaldum,0,0,2,0,0,0,1,0,0,0,0,0,8,0,0,0,5,0,0,0,0,7,0,0,0,4,1,1,0,0,0,5
Mohamed Salah,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,4,3,2,0,1,3,8
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhian Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,1,2,0,0,0,0,0,0,0,0,0,6,6,0,0,12,0,0,0,0,0,0,0,0,1,9,0,0,0,0,11
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ki-Jana Hoever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Andy Lonergan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takumi Minamino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,0,4,3,2,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,8,0,17,0,0,0,2,1,2,0,0,0,29
Joe Gomez,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,4,8,3,0,0,0,5
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,0,2,2,0,0,0,9,0,0,0,0,0,21,14,0,0,0,0,0,1,0,2,0,0,0,6,6,3,0,1,0,9
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neco Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,3,2,4,0,0,3,9
Harvey Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,0,3,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,8,0,0,0,0,0,2,1,1,0,0,4,7
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,2,3,0,0,0,1,0,0,0,0,0,5,5,0,0,6,0,0,5,0,2,0,0,0,0,5,1,0,0,2,12
Trent Alexander-Arnold,0,3,6,4,0,0,1,0,0,0,0,0,5,10,0,0,0,0,0,6,0,3,0,0,0,3,0,5,0,0,0,27
Alex Oxlade-Chamberlain,0,1,5,0,0,0,1,0,0,0,0,0,3,1,0,0,3,0,0,2,0,3,0,0,0,2,2,0,0,0,2,7
James Milner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
