,initial_possession
Neal Maupay,0
Ezequiel Schelotto,13
Mathew Ryan,18
David Button,0
Alexis Mac Allister,0
Adam Webster,27
Solly March,16
Lewis Dunk,21
Alex Cochrane,0
Aaron Mooy,15
Jürgen Locadia,0
Aaron Connolly,0
Martín Montoya,27
Bernardo,33
Steven Alzate,0
Davy Pröpper,25
Leandro Trossard,17
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,16
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,0
Florin Andone,0
Dale Stephens,27
Glenn Murray,17
Tariq Lamptey,0
Yves Bissouma,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
