,initial_possession
Neal Maupay,4
Ezequiel Schelotto,0
Mathew Ryan,19
David Button,0
Alexis Mac Allister,0
Adam Webster,0
Solly March,27
Lewis Dunk,28
Alex Cochrane,0
Aaron Mooy,0
Jürgen Locadia,9
Aaron Connolly,0
Martín Montoya,29
Bernardo,0
Steven Alzate,0
Davy Pröpper,21
Leandro Trossard,0
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,17
Dan Burn,28
Alireza Jahanbakhsh,0
Shane Duffy,36
Florin Andone,9
Dale Stephens,20
Glenn Murray,10
Tariq Lamptey,0
Yves Bissouma,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
