,initial_possession
Adrián,14
Georginio Wijnaldum,12
Mohamed Salah,18
Adam Lallana,3
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,0
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,16
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,0
Joe Gomez,36
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,31
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,11
Harvey Elliott,0
Sadio Mané,27
Divock Origi,1
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,0
Trent Alexander-Arnold,38
Alex Oxlade-Chamberlain,25
James Milner,35
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
