,initial_possession
Adrián,21
Georginio Wijnaldum,22
Mohamed Salah,5
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,0
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,6
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,41
Joe Gomez,0
Curtis Jones,0
Joël Matip,34
Virgil van Dijk,34
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,17
Harvey Elliott,0
Sadio Mané,18
Divock Origi,3
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,2
Trent Alexander-Arnold,32
Alex Oxlade-Chamberlain,25
James Milner,23
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
