,initial_possession
Adrián,0
Georginio Wijnaldum,13
Mohamed Salah,15
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,19
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,28
Andy Lonergan,0
Takumi Minamino,3
Andy Robertson,31
Joe Gomez,31
Curtis Jones,8
Joël Matip,0
Virgil van Dijk,28
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,10
Harvey Elliott,0
Sadio Mané,18
Divock Origi,1
Naby Keïta,22
Nathaniel Phillips,0
Jordan Henderson,0
Trent Alexander-Arnold,39
Alex Oxlade-Chamberlain,4
James Milner,11
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
