,initial_possession
Neal Maupay,23
Ezequiel Schelotto,0
Mathew Ryan,14
David Button,0
Alexis Mac Allister,0
Adam Webster,23
Solly March,0
Lewis Dunk,28
Alex Cochrane,0
Aaron Mooy,17
Jürgen Locadia,0
Aaron Connolly,0
Martín Montoya,0
Bernardo,0
Steven Alzate,27
Davy Pröpper,12
Leandro Trossard,6
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,14
Dan Burn,53
Alireza Jahanbakhsh,1
Shane Duffy,0
Florin Andone,0
Dale Stephens,26
Glenn Murray,6
Tariq Lamptey,0
Yves Bissouma,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
