,initial_possession
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,28
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,26
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
David Luiz,16
Kieran Tierney,0
Dani Ceballos,22
Henrikh Mkhitaryan,0
Mattéo Guendouzi,26
Joe Willock,6
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,16
Bukayo Saka,23
Pablo Marí,0
Nicolas Pépé,14
Pierre-Emerick Aubameyang,9
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,35
Bernd Leno,18
Calum Chambers,56
Lucas Torreira,4
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
