,initial_possession
Adrián,18
Georginio Wijnaldum,14
Mohamed Salah,15
Adam Lallana,2
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,0
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,19
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,34
Joe Gomez,0
Curtis Jones,0
Joël Matip,20
Virgil van Dijk,19
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,18
Harvey Elliott,0
Sadio Mané,22
Divock Origi,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,20
Trent Alexander-Arnold,34
Alex Oxlade-Chamberlain,5
James Milner,8
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
