,Adrián,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Rhian Brewster,Alisson Becker,Caoimhín Kelleher,Ki-Jana Hoever,Fabinho,Andy Lonergan,Takumi Minamino,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Xherdan Shaqiri,Neco Williams,Roberto Firmino,Harvey Elliott,Sadio Mané,Divock Origi,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georginio Wijnaldum,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,3,0,2,0,1,0,1,4,0,0,0,0,4
Mohamed Salah,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,4,1,1,0,0,7,1,0,0,1,6
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhian Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,1,2,0,0,0,0,0,0,3,0,0,1,12,0,0,5,0,0,1,0,0,0,1,0,1,3,2,0,0,0,4
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ki-Jana Hoever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,0,2,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,0,0,0,4,2,8,0,0,6,5,0,0,0,3
Andy Lonergan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takumi Minamino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,0,0,1,0,0,0,3,0,0,2,0,0,0,3,1,0,10,0,0,2,0,9,7,18,0,10,0,2,0,0,0,17
Joe Gomez,0,1,1,0,0,0,6,0,0,6,0,0,2,1,1,0,17,0,0,1,0,1,1,9,0,6,21,6,0,0,0,10
Curtis Jones,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,0,3,1,0,0,0,6,0,0,3,0,0,14,20,0,0,1,0,0,0,0,1,2,6,0,3,3,2,0,0,0,10
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neco Williams,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,1,4
Harvey Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,0,3,6,0,0,0,0,0,0,3,0,0,2,2,0,0,1,0,0,3,0,0,2,6,0,2,0,1,0,1,1,9
Divock Origi,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,8
Naby Keïta,0,1,3,0,0,0,1,0,0,1,0,0,15,6,0,0,9,0,0,1,0,13,3,0,0,5,7,6,0,0,0,13
Nathaniel Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,5,0,0,0,0,1,0,0,0,0,0,7,5,1,0,2,0,0,4,0,2,0,5,0,0,0,0,0,0,0,8
Trent Alexander-Arnold,0,2,6,0,0,0,2,0,0,9,0,0,6,14,1,0,4,0,0,1,0,4,2,8,0,2,0,7,0,0,0,21
Alex Oxlade-Chamberlain,0,0,2,0,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0,1,2,3,0,0,10,1,0,0,0,11
James Milner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
