,Mesut Özil,Emile Smith Rowe,Granit Xhaka,Tyreece John-Jules,Konstantinos Mavropanos,Reiss Nelson,Sokratis Papastathopoulos,Zech Medley,Emiliano Martínez,Shkodran Mustafi,Alexandre Lacazette,Ainsley Maitland-Niles,David Luiz,Kieran Tierney,Dani Ceballos,Henrikh Mkhitaryan,Mattéo Guendouzi,Joe Willock,Cédric Soares,Matt Macey,Gabriel Martinelli,Bukayo Saka,Pablo Marí,Nicolas Pépé,Pierre-Emerick Aubameyang,Héctor Bellerín,Eddie Nketiah,Sead Kolasinac,Bernd Leno,Calum Chambers,Lucas Torreira,Rob Holding,Matt Smith,Nacho Monreal,Successful,Unsuccessful,Unsuccessful Pass
Mesut Özil,0,0,0,0,0,0,3,0,0,0,10,0,1,9,14,0,15,0,0,0,1,5,0,0,4,0,0,0,0,16,4,0,0,0,0,0,13
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreece John-Jules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konstantinos Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sokratis Papastathopoulos,5,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,9,0,0,0,0,0,0,0,1,0,0,0,4,14,2,0,0,0,0,1,6
Zech Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,6,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,2,7
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Luiz,2,0,0,0,0,0,9,0,0,0,2,0,0,3,2,0,6,0,0,0,0,0,0,0,2,0,0,0,5,3,1,0,0,0,0,0,8
Kieran Tierney,8,0,0,0,0,0,3,0,0,0,0,0,9,0,8,0,4,0,0,0,0,2,0,0,4,0,0,0,1,0,1,0,0,0,0,0,12
Dani Ceballos,16,0,0,0,0,0,3,0,0,0,2,0,3,8,0,0,12,0,0,0,0,2,0,0,4,0,0,1,0,7,0,0,0,0,0,1,8
Henrikh Mkhitaryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattéo Guendouzi,20,0,0,0,0,0,8,0,0,0,2,0,2,6,11,0,0,0,0,0,1,1,0,0,1,0,0,0,2,12,3,0,0,0,0,0,10
Joe Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Bukayo Saka,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
Pablo Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,7,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9
Héctor Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Bernd Leno,1,0,0,0,0,0,3,0,0,0,0,0,6,1,3,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,5
Calum Chambers,17,0,0,0,0,0,10,0,0,0,2,0,2,1,6,0,10,0,0,0,1,0,0,0,6,0,0,0,1,0,6,0,0,0,0,1,15
Lucas Torreira,3,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,2
Rob Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho Monreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
