,initial_possession
Neal Maupay,12
Ezequiel Schelotto,0
Mathew Ryan,11
David Button,0
Alexis Mac Allister,17
Adam Webster,0
Solly March,0
Lewis Dunk,18
Alex Cochrane,0
Aaron Mooy,2
Jürgen Locadia,0
Aaron Connolly,9
Martín Montoya,21
Bernardo,3
Steven Alzate,0
Davy Pröpper,8
Leandro Trossard,8
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,0
Dan Burn,17
Alireza Jahanbakhsh,0
Shane Duffy,22
Florin Andone,0
Dale Stephens,17
Glenn Murray,0
Tariq Lamptey,9
Yves Bissouma,30
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
