,initial_possession
Neal Maupay,19
Ezequiel Schelotto,1
Mathew Ryan,8
David Button,0
Alexis Mac Allister,0
Adam Webster,11
Solly March,0
Lewis Dunk,34
Alex Cochrane,0
Aaron Mooy,0
Jürgen Locadia,0
Aaron Connolly,21
Martín Montoya,35
Bernardo,0
Steven Alzate,20
Davy Pröpper,36
Leandro Trossard,5
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,14
Dan Burn,23
Alireza Jahanbakhsh,0
Shane Duffy,13
Florin Andone,0
Dale Stephens,20
Glenn Murray,0
Tariq Lamptey,0
Yves Bissouma,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
