,initial_possession
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,16
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,18
Shkodran Mustafi,24
Alexandre Lacazette,3
Ainsley Maitland-Niles,4
David Luiz,0
Kieran Tierney,25
Dani Ceballos,26
Henrikh Mkhitaryan,0
Mattéo Guendouzi,0
Joe Willock,10
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,30
Pablo Marí,0
Nicolas Pépé,13
Pierre-Emerick Aubameyang,10
Héctor Bellerín,42
Eddie Nketiah,17
Sead Kolasinac,5
Bernd Leno,0
Calum Chambers,0
Lucas Torreira,0
Rob Holding,24
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
