,Adrián,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Rhian Brewster,Alisson Becker,Caoimhín Kelleher,Ki-Jana Hoever,Fabinho,Andy Lonergan,Takumi Minamino,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Xherdan Shaqiri,Neco Williams,Roberto Firmino,Harvey Elliott,Sadio Mané,Divock Origi,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georginio Wijnaldum,0,0,2,0,0,0,1,0,0,6,0,0,18,9,0,0,10,0,0,2,4,2,0,5,0,1,2,4,0,0,3,8
Mohamed Salah,0,2,0,0,0,0,0,0,0,3,0,2,1,3,0,0,1,0,5,5,0,3,0,0,0,8,11,6,0,1,4,16
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhian Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,0,0,0,0,0,0,0,0,2,0,0,5,8,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ki-Jana Hoever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,8,9,0,0,0,0,0,0,0,0,1,5,14,0,0,16,0,3,3,2,3,0,2,0,9,12,5,0,1,1,2
Andy Lonergan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takumi Minamino,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,2
Andy Robertson,0,17,0,0,0,0,5,0,0,5,0,0,0,2,0,0,21,0,1,8,0,16,0,0,0,3,0,0,0,0,1,17
Joe Gomez,0,4,10,0,0,0,2,0,0,13,0,1,4,0,0,0,44,0,5,1,0,5,0,1,0,9,13,2,0,0,0,11
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,0,14,6,0,0,0,4,0,0,21,0,0,34,32,0,0,0,0,1,0,2,4,0,2,0,5,2,2,0,0,2,10
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neco Williams,0,0,8,0,0,0,1,0,0,2,0,1,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,2,2
Roberto Firmino,0,4,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,1,5
Harvey Elliott,0,4,1,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Sadio Mané,0,7,7,0,0,0,0,0,0,4,0,0,6,3,0,0,2,0,0,5,0,0,0,0,0,4,1,1,0,1,0,8
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2
Nathaniel Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,0,10,0,0,0,2,0,0,4,0,0,3,8,0,0,7,0,0,3,0,1,0,0,0,0,13,0,0,0,2,7
Trent Alexander-Arnold,0,1,8,0,0,0,3,0,0,11,0,0,2,11,0,0,6,0,0,3,0,2,0,0,0,9,0,1,0,1,0,16
Alex Oxlade-Chamberlain,0,4,6,0,0,0,0,0,0,2,0,1,1,5,0,0,4,0,6,0,1,0,0,0,0,0,1,0,0,0,1,2
James Milner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
