,initial_possession
Mesut Özil,11
Emile Smith Rowe,3
Granit Xhaka,0
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,17
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,23
David Luiz,0
Kieran Tierney,0
Dani Ceballos,0
Henrikh Mkhitaryan,0
Mattéo Guendouzi,24
Joe Willock,6
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,25
Bukayo Saka,14
Pablo Marí,0
Nicolas Pépé,19
Pierre-Emerick Aubameyang,16
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,12
Bernd Leno,17
Calum Chambers,20
Lucas Torreira,26
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
