,initial_possession
Neal Maupay,13
Ezequiel Schelotto,0
Mathew Ryan,10
David Button,0
Alexis Mac Allister,0
Adam Webster,35
Solly March,29
Lewis Dunk,30
Alex Cochrane,0
Aaron Mooy,2
Jürgen Locadia,0
Aaron Connolly,0
Martín Montoya,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,24
Leandro Trossard,0
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,16
Dan Burn,47
Alireza Jahanbakhsh,0
Shane Duffy,30
Florin Andone,0
Dale Stephens,32
Glenn Murray,21
Tariq Lamptey,0
Yves Bissouma,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
