,Adrián,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Rhian Brewster,Alisson Becker,Caoimhín Kelleher,Ki-Jana Hoever,Fabinho,Andy Lonergan,Takumi Minamino,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Xherdan Shaqiri,Neco Williams,Roberto Firmino,Harvey Elliott,Sadio Mané,Divock Origi,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georginio Wijnaldum,0,0,4,0,0,0,0,0,0,0,0,0,13,9,0,0,10,0,6,2,0,1,1,14,0,0,2,1,13,0,0,6
Mohamed Salah,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,3,0,2,0,0,0,0,2,0,3,4
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhian Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,3,0,0,0,0,0,0,0,0,0,0,7,4,0,0,3,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ki-Jana Hoever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Lonergan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takumi Minamino,0,2,0,0,0,0,0,0,0,0,0,0,9,1,0,0,9,0,1,0,0,0,0,1,0,0,0,1,2,0,2,2
Andy Robertson,0,10,0,0,0,0,1,0,0,0,0,14,0,5,0,0,24,0,3,5,0,8,10,5,0,0,1,1,20,0,0,22
Joe Gomez,0,14,2,0,0,0,6,0,0,0,0,2,6,0,1,0,26,0,12,1,0,0,2,6,0,0,1,7,14,0,0,13
Curtis Jones,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,0,6,1,0,0,0,3,0,0,0,0,3,33,22,0,0,0,0,3,1,0,0,2,4,0,0,0,2,22,1,1,8
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neco Williams,0,5,1,0,0,0,3,0,0,0,0,0,0,23,0,0,2,0,0,0,0,0,3,10,0,0,0,4,3,0,1,14
Roberto Firmino,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,4
Harvey Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,2
Divock Origi,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,3,1,1,7
Naby Keïta,0,13,2,0,0,0,0,0,0,0,0,4,2,5,0,0,3,0,5,4,0,1,4,0,0,0,0,6,7,0,2,7
Nathaniel Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,2,7,0,0,0,0,0,0,1,5
James Milner,0,11,1,0,0,0,1,0,0,0,0,5,32,10,1,0,12,0,8,1,0,2,3,9,0,0,0,4,0,0,0,6
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
