,initial_possession
Adrián,0
Georginio Wijnaldum,27
Mohamed Salah,10
Adam Lallana,12
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,20
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,0
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,25
Joe Gomez,30
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,28
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,11
Harvey Elliott,0
Sadio Mané,21
Divock Origi,7
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,23
Trent Alexander-Arnold,36
Alex Oxlade-Chamberlain,9
James Milner,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
