,initial_possession
Neal Maupay,16
Ezequiel Schelotto,0
Mathew Ryan,19
David Button,0
Alexis Mac Allister,0
Adam Webster,31
Solly March,0
Lewis Dunk,22
Alex Cochrane,0
Aaron Mooy,13
Jürgen Locadia,0
Aaron Connolly,2
Martín Montoya,25
Bernardo,0
Steven Alzate,17
Davy Pröpper,0
Leandro Trossard,0
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,11
Pascal Groß,20
Dan Burn,32
Alireza Jahanbakhsh,0
Shane Duffy,0
Florin Andone,0
Dale Stephens,27
Glenn Murray,1
Tariq Lamptey,0
Yves Bissouma,10
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
