,initial_possession
Adrián,0
Georginio Wijnaldum,25
Mohamed Salah,22
Adam Lallana,10
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,17
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,1
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,35
Joe Gomez,24
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,30
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,12
Harvey Elliott,0
Sadio Mané,21
Divock Origi,1
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,28
Trent Alexander-Arnold,30
Alex Oxlade-Chamberlain,28
James Milner,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
