,initial_possession
Mesut Özil,14
Emile Smith Rowe,0
Granit Xhaka,19
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,31
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
David Luiz,18
Kieran Tierney,0
Dani Ceballos,20
Henrikh Mkhitaryan,0
Mattéo Guendouzi,3
Joe Willock,0
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,29
Pablo Marí,0
Nicolas Pépé,12
Pierre-Emerick Aubameyang,17
Héctor Bellerín,28
Eddie Nketiah,14
Sead Kolasinac,5
Bernd Leno,16
Calum Chambers,0
Lucas Torreira,4
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
