,initial_possession
Mesut Özil,11
Emile Smith Rowe,0
Granit Xhaka,30
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,4
Sokratis Papastathopoulos,19
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Alexandre Lacazette,19
Ainsley Maitland-Niles,30
David Luiz,17
Kieran Tierney,0
Dani Ceballos,0
Henrikh Mkhitaryan,0
Mattéo Guendouzi,5
Joe Willock,0
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,6
Pablo Marí,0
Nicolas Pépé,17
Pierre-Emerick Aubameyang,15
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,28
Bernd Leno,22
Calum Chambers,0
Lucas Torreira,24
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
