,initial_possession
Neal Maupay,11
Ezequiel Schelotto,0
Mathew Ryan,14
David Button,0
Alexis Mac Allister,10
Adam Webster,31
Solly March,10
Lewis Dunk,23
Alex Cochrane,0
Aaron Mooy,17
Jürgen Locadia,0
Aaron Connolly,0
Martín Montoya,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,4
Leandro Trossard,13
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,14
Dan Burn,38
Alireza Jahanbakhsh,0
Shane Duffy,6
Florin Andone,0
Dale Stephens,21
Glenn Murray,1
Tariq Lamptey,23
Yves Bissouma,22
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
