,initial_possession
Mesut Özil,12
Emile Smith Rowe,0
Granit Xhaka,20
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,8
Sokratis Papastathopoulos,30
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Alexandre Lacazette,3
Ainsley Maitland-Niles,0
David Luiz,26
Kieran Tierney,0
Dani Ceballos,35
Henrikh Mkhitaryan,0
Mattéo Guendouzi,0
Joe Willock,0
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,25
Pablo Marí,29
Nicolas Pépé,16
Pierre-Emerick Aubameyang,16
Héctor Bellerín,4
Eddie Nketiah,10
Sead Kolasinac,0
Bernd Leno,25
Calum Chambers,0
Lucas Torreira,0
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
