,initial_possession
Adrián,14
Georginio Wijnaldum,27
Mohamed Salah,0
Adam Lallana,21
Dejan Lovren,35
Rhian Brewster,0
Alisson Becker,0
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,0
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,24
Joe Gomez,5
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,31
Xherdan Shaqiri,14
Neco Williams,0
Roberto Firmino,2
Harvey Elliott,0
Sadio Mané,20
Divock Origi,15
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,7
Trent Alexander-Arnold,33
Alex Oxlade-Chamberlain,0
James Milner,32
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
