,initial_possession
Neal Maupay,10
Ezequiel Schelotto,0
Mathew Ryan,25
David Button,0
Alexis Mac Allister,0
Adam Webster,28
Solly March,0
Lewis Dunk,28
Alex Cochrane,0
Aaron Mooy,15
Jürgen Locadia,0
Aaron Connolly,8
Martín Montoya,24
Bernardo,0
Steven Alzate,25
Davy Pröpper,18
Leandro Trossard,0
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,1
Pascal Groß,10
Dan Burn,34
Alireza Jahanbakhsh,0
Shane Duffy,0
Florin Andone,0
Dale Stephens,20
Glenn Murray,0
Tariq Lamptey,0
Yves Bissouma,1
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
