,initial_possession
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,35
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,20
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Alexandre Lacazette,3
Ainsley Maitland-Niles,35
David Luiz,26
Kieran Tierney,0
Dani Ceballos,13
Henrikh Mkhitaryan,2
Mattéo Guendouzi,19
Joe Willock,14
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,0
Pablo Marí,0
Nicolas Pépé,19
Pierre-Emerick Aubameyang,11
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,0
Bernd Leno,19
Calum Chambers,0
Lucas Torreira,7
Rob Holding,0
Matt Smith,0
Nacho Monreal,28
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
