,initial_possession
Adrián,0
Georginio Wijnaldum,13
Mohamed Salah,15
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,19
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,11
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,20
Joe Gomez,23
Curtis Jones,4
Joël Matip,0
Virgil van Dijk,26
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,26
Harvey Elliott,0
Sadio Mané,0
Divock Origi,11
Naby Keïta,4
Nathaniel Phillips,0
Jordan Henderson,23
Trent Alexander-Arnold,25
Alex Oxlade-Chamberlain,26
James Milner,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
