,initial_possession
Adrián,0
Georginio Wijnaldum,5
Mohamed Salah,12
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,23
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,22
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,27
Joe Gomez,36
Curtis Jones,25
Joël Matip,0
Virgil van Dijk,48
Xherdan Shaqiri,0
Neco Williams,34
Roberto Firmino,18
Harvey Elliott,0
Sadio Mané,12
Divock Origi,0
Naby Keïta,6
Nathaniel Phillips,0
Jordan Henderson,0
Trent Alexander-Arnold,14
Alex Oxlade-Chamberlain,2
James Milner,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
