,initial_possession
Adrián,0
Georginio Wijnaldum,5
Mohamed Salah,0
Adam Lallana,0
Dejan Lovren,13
Rhian Brewster,0
Alisson Becker,13
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,31
Andy Lonergan,0
Takumi Minamino,7
Andy Robertson,0
Joe Gomez,19
Curtis Jones,0
Joël Matip,19
Virgil van Dijk,38
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,11
Harvey Elliott,0
Sadio Mané,23
Divock Origi,5
Naby Keïta,12
Nathaniel Phillips,0
Jordan Henderson,18
Trent Alexander-Arnold,37
Alex Oxlade-Chamberlain,12
James Milner,19
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
