,initial_possession
Adrián,0
Georginio Wijnaldum,18
Mohamed Salah,11
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,17
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,22
Andy Lonergan,0
Takumi Minamino,8
Andy Robertson,31
Joe Gomez,44
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,29
Xherdan Shaqiri,3
Neco Williams,0
Roberto Firmino,15
Harvey Elliott,0
Sadio Mané,25
Divock Origi,7
Naby Keïta,8
Nathaniel Phillips,0
Jordan Henderson,0
Trent Alexander-Arnold,34
Alex Oxlade-Chamberlain,11
James Milner,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
