,Neal Maupay,Ezequiel Schelotto,Mathew Ryan,David Button,Alexis Mac Allister,Adam Webster,Solly March,Lewis Dunk,Alex Cochrane,Aaron Mooy,Jürgen Locadia,Aaron Connolly,Martín Montoya,Bernardo,Steven Alzate,Davy Pröpper,Leandro Trossard,Tudor Baluta,Leon Balogun,Gaëtan Bong,Pascal Groß,Dan Burn,Alireza Jahanbakhsh,Shane Duffy,Florin Andone,Dale Stephens,Glenn Murray,Tariq Lamptey,Yves Bissouma,Successful,Unsuccessful,Unsuccessful Pass
Neal Maupay,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,3,1,0,0,0,2,2,0,0,0,0,0,0,2,1,3,5
Ezequiel Schelotto,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,6,0,1,9
Mathew Ryan,0,1,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,9
David Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Mac Allister,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Webster,0,4,2,0,0,0,0,5,0,0,0,0,2,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,7
Solly March,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,6
Lewis Dunk,1,1,12,0,0,2,0,1,0,0,0,0,1,0,0,4,2,0,0,0,0,7,0,0,0,0,0,0,1,1,0,4
Alex Cochrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Mooy,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,0,1,5
Jürgen Locadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Connolly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Martín Montoya,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2
Bernardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy Pröpper,1,2,1,0,2,4,4,3,0,2,0,0,1,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,5,0,0,7
Leandro Trossard,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,6
Tudor Baluta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaëtan Bong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,3,6,0,0,0,1,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Dan Burn,1,1,0,0,0,0,1,6,0,3,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9
Alireza Jahanbakhsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin Andone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tariq Lamptey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Bissouma,3,1,1,0,0,5,2,5,0,3,0,0,3,0,0,6,2,0,0,0,3,3,0,0,0,0,0,0,1,0,1,8
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
