,initial_possession
Adrián,0
Georginio Wijnaldum,14
Mohamed Salah,21
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,17
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,9
Andy Lonergan,0
Takumi Minamino,9
Andy Robertson,18
Joe Gomez,26
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,23
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,23
Harvey Elliott,0
Sadio Mané,10
Divock Origi,2
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,28
Trent Alexander-Arnold,38
Alex Oxlade-Chamberlain,14
James Milner,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
