,initial_possession
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,23
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,30
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Alexandre Lacazette,14
Ainsley Maitland-Niles,0
David Luiz,27
Kieran Tierney,29
Dani Ceballos,24
Henrikh Mkhitaryan,0
Mattéo Guendouzi,18
Joe Willock,0
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,9
Pablo Marí,0
Nicolas Pépé,29
Pierre-Emerick Aubameyang,7
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,4
Bernd Leno,15
Calum Chambers,40
Lucas Torreira,0
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
