,initial_possession
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,14
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,1
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,19
Shkodran Mustafi,47
Alexandre Lacazette,19
Ainsley Maitland-Niles,0
David Luiz,19
Kieran Tierney,21
Dani Ceballos,24
Henrikh Mkhitaryan,0
Mattéo Guendouzi,0
Joe Willock,6
Cédric Soares,9
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,5
Pablo Marí,0
Nicolas Pépé,16
Pierre-Emerick Aubameyang,8
Héctor Bellerín,30
Eddie Nketiah,0
Sead Kolasinac,16
Bernd Leno,0
Calum Chambers,0
Lucas Torreira,0
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
