,initial_possession
Adrián,22
Georginio Wijnaldum,10
Mohamed Salah,20
Adam Lallana,5
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,0
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,18
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,34
Joe Gomez,1
Curtis Jones,0
Joël Matip,35
Virgil van Dijk,30
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,16
Harvey Elliott,0
Sadio Mané,18
Divock Origi,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,24
Trent Alexander-Arnold,40
Alex Oxlade-Chamberlain,0
James Milner,7
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
