,Mesut Özil,Emile Smith Rowe,Granit Xhaka,Tyreece John-Jules,Konstantinos Mavropanos,Reiss Nelson,Sokratis Papastathopoulos,Zech Medley,Emiliano Martínez,Shkodran Mustafi,Alexandre Lacazette,Ainsley Maitland-Niles,David Luiz,Kieran Tierney,Dani Ceballos,Henrikh Mkhitaryan,Mattéo Guendouzi,Joe Willock,Cédric Soares,Matt Macey,Gabriel Martinelli,Bukayo Saka,Pablo Marí,Nicolas Pépé,Pierre-Emerick Aubameyang,Héctor Bellerín,Eddie Nketiah,Sead Kolasinac,Bernd Leno,Calum Chambers,Lucas Torreira,Rob Holding,Matt Smith,Nacho Monreal,Successful,Unsuccessful,Unsuccessful Pass
Mesut Özil,0,0,10,0,0,0,1,0,0,0,0,5,0,4,0,0,6,0,0,0,4,0,0,6,5,0,0,3,0,3,11,0,0,0,0,1,9
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,13,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,12,3,0,0,3,2,7,11,0,0,0,0,1,12
Tyreece John-Jules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konstantinos Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sokratis Papastathopoulos,3,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,6,10,24,9,0,0,0,0,0,10
Zech Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainsley Maitland-Niles,2,0,9,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,2,0,0,0,2,24,7,0,0,0,0,0,13
David Luiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Tierney,4,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3
Dani Ceballos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
