,Mesut Özil,Emile Smith Rowe,Granit Xhaka,Tyreece John-Jules,Konstantinos Mavropanos,Reiss Nelson,Sokratis Papastathopoulos,Zech Medley,Emiliano Martínez,Shkodran Mustafi,Alexandre Lacazette,Ainsley Maitland-Niles,David Luiz,Kieran Tierney,Dani Ceballos,Henrikh Mkhitaryan,Mattéo Guendouzi,Joe Willock,Cédric Soares,Matt Macey,Gabriel Martinelli,Bukayo Saka,Pablo Marí,Nicolas Pépé,Pierre-Emerick Aubameyang,Héctor Bellerín,Eddie Nketiah,Sead Kolasinac,Bernd Leno,Calum Chambers,Lucas Torreira,Rob Holding,Matt Smith,Nacho Monreal,Successful,Unsuccessful,Unsuccessful Pass
Mesut Özil,0,0,6,0,0,0,0,0,0,3,2,0,2,0,0,0,5,0,0,0,3,3,0,0,5,4,0,0,0,0,1,0,0,0,0,1,9
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,8,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,14,2,0,0,5,4,0,0,3,3,0,0,1,0,3,0,0,0,0,0,11
Tyreece John-Jules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konstantinos Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sokratis Papastathopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zech Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,2,0,4,0,0,0,0,0,0,0,2,0,6,0,0,0,1,0,0,0,3,0,0,0,0,17,0,0,4,0,5,0,0,0,0,1,16
Alexandre Lacazette,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,5
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Luiz,1,0,11,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,0,6,0,3,0,0,0,0,1,15
Kieran Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dani Ceballos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henrikh Mkhitaryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattéo Guendouzi,7,0,10,0,0,0,0,0,0,1,3,0,2,0,0,0,0,2,0,0,1,4,0,0,4,4,0,0,3,0,1,0,0,0,0,1,9
Joe Willock,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Martinelli,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
Bukayo Saka,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Pablo Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,3,2,0,0,0,3,0,0,0,0,1,0,0,0,0,3,7
Héctor Bellerín,11,0,5,0,0,0,0,0,0,15,0,0,1,0,0,0,3,0,0,0,6,1,0,0,5,0,0,0,1,0,4,0,0,0,0,1,12
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sead Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,1,0,2,0,0,0,0,0,0,4,0,0,7,0,0,0,8,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12
Calum Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Torreira,0,0,1,0,0,0,0,0,0,5,2,0,3,0,0,0,3,3,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,8
Rob Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho Monreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
