,initial_possession
Adrián,0
Georginio Wijnaldum,22
Mohamed Salah,9
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,19
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,5
Andy Lonergan,0
Takumi Minamino,4
Andy Robertson,15
Joe Gomez,36
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,35
Xherdan Shaqiri,0
Neco Williams,18
Roberto Firmino,14
Harvey Elliott,0
Sadio Mané,7
Divock Origi,0
Naby Keïta,15
Nathaniel Phillips,0
Jordan Henderson,24
Trent Alexander-Arnold,34
Alex Oxlade-Chamberlain,10
James Milner,4
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
