,initial_possession
Adrián,0
Georginio Wijnaldum,21
Mohamed Salah,13
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,18
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,0
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,4
Joe Gomez,39
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,25
Xherdan Shaqiri,18
Neco Williams,0
Roberto Firmino,24
Harvey Elliott,0
Sadio Mané,19
Divock Origi,2
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,27
Trent Alexander-Arnold,44
Alex Oxlade-Chamberlain,8
James Milner,23
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
