,initial_possession
Adrián,0
Georginio Wijnaldum,8
Mohamed Salah,4
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,13
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,31
Andy Lonergan,0
Takumi Minamino,2
Andy Robertson,26
Joe Gomez,8
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,21
Xherdan Shaqiri,0
Neco Williams,18
Roberto Firmino,14
Harvey Elliott,0
Sadio Mané,15
Divock Origi,2
Naby Keïta,6
Nathaniel Phillips,0
Jordan Henderson,21
Trent Alexander-Arnold,26
Alex Oxlade-Chamberlain,9
James Milner,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
