,Neal Maupay,Ezequiel Schelotto,Mathew Ryan,David Button,Alexis Mac Allister,Adam Webster,Solly March,Lewis Dunk,Alex Cochrane,Aaron Mooy,Jürgen Locadia,Aaron Connolly,Martín Montoya,Bernardo,Steven Alzate,Davy Pröpper,Leandro Trossard,Tudor Baluta,Leon Balogun,Gaëtan Bong,Pascal Groß,Dan Burn,Alireza Jahanbakhsh,Shane Duffy,Florin Andone,Dale Stephens,Glenn Murray,Tariq Lamptey,Yves Bissouma,Successful,Unsuccessful,Unsuccessful Pass
Neal Maupay,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2
Ezequiel Schelotto,1,0,1,0,0,0,6,1,0,2,0,0,0,0,0,8,0,0,0,0,6,0,0,6,0,0,1,0,0,0,1,12
Mathew Ryan,0,1,0,0,0,0,2,16,0,0,0,0,0,0,2,2,3,0,0,0,1,0,0,11,0,0,0,0,0,0,0,6
David Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Mac Allister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solly March,1,3,1,0,0,0,0,5,0,5,0,0,0,0,2,5,3,0,0,0,7,0,0,4,0,0,1,0,0,0,1,15
Lewis Dunk,0,3,17,0,0,0,8,0,0,9,0,0,0,0,3,9,5,0,0,0,1,15,0,17,0,0,2,0,0,0,1,10
Alex Cochrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Mooy,1,1,0,0,0,0,7,7,0,0,0,0,0,0,0,6,4,0,0,0,4,9,0,2,0,0,0,0,0,0,2,5
Jürgen Locadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martín Montoya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Alzate,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,5,2,0,0,1,0,0,0,0,3
Davy Pröpper,1,4,1,0,0,0,4,10,0,13,0,0,0,0,5,0,2,0,0,0,14,5,3,9,0,0,3,0,0,0,1,8
Leandro Trossard,2,1,1,0,0,0,2,2,0,2,0,0,0,0,3,2,0,0,0,0,0,2,1,2,0,0,1,0,0,0,2,15
Tudor Baluta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaëtan Bong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,1,7,0,0,0,0,9,4,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7
Dan Burn,0,0,1,0,0,0,0,14,0,7,0,0,0,0,0,4,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11
Alireza Jahanbakhsh,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Shane Duffy,1,10,8,0,0,0,2,17,0,1,0,0,0,0,2,10,3,0,0,0,5,1,0,0,0,0,2,0,0,0,0,17
Florin Andone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Murray,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,11
Tariq Lamptey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Bissouma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
