,initial_possession
Mesut Özil,0
Emile Smith Rowe,7
Granit Xhaka,22
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,15
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Alexandre Lacazette,3
Ainsley Maitland-Niles,33
David Luiz,30
Kieran Tierney,0
Dani Ceballos,0
Henrikh Mkhitaryan,0
Mattéo Guendouzi,0
Joe Willock,9
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,24
Bukayo Saka,35
Pablo Marí,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,4
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,0
Bernd Leno,16
Calum Chambers,27
Lucas Torreira,22
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
