,initial_possession
Neal Maupay,21
Ezequiel Schelotto,15
Mathew Ryan,17
David Button,0
Alexis Mac Allister,1
Adam Webster,24
Solly March,14
Lewis Dunk,15
Alex Cochrane,0
Aaron Mooy,15
Jürgen Locadia,0
Aaron Connolly,3
Martín Montoya,5
Bernardo,0
Steven Alzate,0
Davy Pröpper,14
Leandro Trossard,6
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,23
Dan Burn,28
Alireza Jahanbakhsh,0
Shane Duffy,0
Florin Andone,0
Dale Stephens,1
Glenn Murray,0
Tariq Lamptey,0
Yves Bissouma,32
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
