,initial_possession
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,40
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,15
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Alexandre Lacazette,23
Ainsley Maitland-Niles,31
David Luiz,21
Kieran Tierney,0
Dani Ceballos,15
Henrikh Mkhitaryan,10
Mattéo Guendouzi,28
Joe Willock,0
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,0
Pablo Marí,0
Nicolas Pépé,23
Pierre-Emerick Aubameyang,11
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,23
Bernd Leno,22
Calum Chambers,0
Lucas Torreira,15
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
