,Mesut Özil,Emile Smith Rowe,Granit Xhaka,Tyreece John-Jules,Konstantinos Mavropanos,Reiss Nelson,Sokratis Papastathopoulos,Zech Medley,Emiliano Martínez,Shkodran Mustafi,Alexandre Lacazette,Ainsley Maitland-Niles,David Luiz,Kieran Tierney,Dani Ceballos,Henrikh Mkhitaryan,Mattéo Guendouzi,Joe Willock,Cédric Soares,Matt Macey,Gabriel Martinelli,Bukayo Saka,Pablo Marí,Nicolas Pépé,Pierre-Emerick Aubameyang,Héctor Bellerín,Eddie Nketiah,Sead Kolasinac,Bernd Leno,Calum Chambers,Lucas Torreira,Rob Holding,Matt Smith,Nacho Monreal,Successful,Unsuccessful,Unsuccessful Pass
Mesut Özil,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,3,3,0,7,1,0,0,2,0,3,5,0,0,0,0,0,8
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,4,1,0,0,0,0,0,1,0,0,0,0,0,1
Granit Xhaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreece John-Jules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konstantinos Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sokratis Papastathopoulos,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,8,0,1,0,0,0,1,2,16,8,0,0,0,0,0,6
Zech Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainsley Maitland-Niles,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,20,0,0,0,0,2,16,2,0,0,0,0,0,4
David Luiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dani Ceballos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henrikh Mkhitaryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattéo Guendouzi,6,4,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,2,2,0,7,1,0,0,1,1,7,7,0,0,0,0,1,4
Joe Willock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Martinelli,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,0,1,2,0,0,0,0,1,7
Bukayo Saka,2,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,8
Pablo Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pépé,5,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,1,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,11
Pierre-Emerick Aubameyang,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,4
Héctor Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead Kolasinac,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5
Bernd Leno,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,10,0,0,0,0,0,0,6
Calum Chambers,1,0,0,0,0,0,14,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,2,1,0,0,1,7,0,3,0,0,0,0,0,14
Lucas Torreira,5,1,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,5,3,0,3,1,0,0,3,0,7,0,0,0,0,0,1,3
Rob Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho Monreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
