,initial_possession
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,22
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,20
Shkodran Mustafi,31
Alexandre Lacazette,15
Ainsley Maitland-Niles,2
David Luiz,30
Kieran Tierney,28
Dani Ceballos,32
Henrikh Mkhitaryan,0
Mattéo Guendouzi,0
Joe Willock,2
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,12
Pablo Marí,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,17
Héctor Bellerín,34
Eddie Nketiah,1
Sead Kolasinac,25
Bernd Leno,0
Calum Chambers,0
Lucas Torreira,6
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
