,initial_possession
Neal Maupay,16
Ezequiel Schelotto,0
Mathew Ryan,22
David Button,0
Alexis Mac Allister,15
Adam Webster,42
Solly March,0
Lewis Dunk,18
Alex Cochrane,0
Aaron Mooy,4
Jürgen Locadia,0
Aaron Connolly,3
Martín Montoya,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,17
Leandro Trossard,12
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,21
Dan Burn,40
Alireza Jahanbakhsh,0
Shane Duffy,0
Florin Andone,0
Dale Stephens,18
Glenn Murray,0
Tariq Lamptey,36
Yves Bissouma,9
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
