,initial_possession
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,18
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,17
Shkodran Mustafi,19
Alexandre Lacazette,4
Ainsley Maitland-Niles,20
David Luiz,16
Kieran Tierney,29
Dani Ceballos,19
Henrikh Mkhitaryan,0
Mattéo Guendouzi,0
Joe Willock,7
Cédric Soares,14
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,8
Pablo Marí,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,19
Héctor Bellerín,8
Eddie Nketiah,10
Sead Kolasinac,32
Bernd Leno,0
Calum Chambers,0
Lucas Torreira,9
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
