,initial_possession
Mesut Özil,20
Emile Smith Rowe,0
Granit Xhaka,37
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,28
Alexandre Lacazette,8
Ainsley Maitland-Niles,32
David Luiz,29
Kieran Tierney,0
Dani Ceballos,0
Henrikh Mkhitaryan,0
Mattéo Guendouzi,0
Joe Willock,0
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,23
Bukayo Saka,36
Pablo Marí,0
Nicolas Pépé,10
Pierre-Emerick Aubameyang,0
Héctor Bellerín,0
Eddie Nketiah,3
Sead Kolasinac,0
Bernd Leno,18
Calum Chambers,0
Lucas Torreira,36
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
