,initial_possession
Mesut Özil,12
Emile Smith Rowe,0
Granit Xhaka,22
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,26
Alexandre Lacazette,19
Ainsley Maitland-Niles,0
David Luiz,10
Kieran Tierney,0
Dani Ceballos,0
Henrikh Mkhitaryan,0
Mattéo Guendouzi,15
Joe Willock,13
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,2
Bukayo Saka,6
Pablo Marí,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,16
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,28
Bernd Leno,21
Calum Chambers,50
Lucas Torreira,11
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
