,initial_possession
Mesut Özil,17
Emile Smith Rowe,0
Granit Xhaka,0
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,0
Sokratis Papastathopoulos,25
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Alexandre Lacazette,9
Ainsley Maitland-Niles,0
David Luiz,14
Kieran Tierney,39
Dani Ceballos,24
Henrikh Mkhitaryan,0
Mattéo Guendouzi,35
Joe Willock,0
Cédric Soares,0
Matt Macey,0
Gabriel Martinelli,6
Bukayo Saka,12
Pablo Marí,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,11
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,4
Bernd Leno,14
Calum Chambers,45
Lucas Torreira,15
Rob Holding,0
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
