,Adrián,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Rhian Brewster,Alisson Becker,Caoimhín Kelleher,Ki-Jana Hoever,Fabinho,Andy Lonergan,Takumi Minamino,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Xherdan Shaqiri,Neco Williams,Roberto Firmino,Harvey Elliott,Sadio Mané,Divock Origi,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,10,0,0,0,0,0,1,0,0,0,1,0,1,0,0,8
Georginio Wijnaldum,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,1,0,3,0,0,0,0,2,1,9,0,0,6
Mohamed Salah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,0,0,3,6
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhian Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ki-Jana Hoever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
Andy Lonergan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takumi Minamino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,3,0,11,3,0,0,2,1,2,19,0,1,23
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,1,0,1,0,0,0,0,17,5,3,0,1,12
Virgil van Dijk,7,5,0,0,0,0,0,0,0,0,0,0,20,0,0,18,0,0,0,2,0,5,0,0,0,0,4,3,10,0,0,13
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neco Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,7,2,0,1,1,7
Harvey Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,4,0,0,4,0,0,0,0,0,0,1,1,0,1,1,9
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Trent Alexander-Arnold,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,9,0,0,0,6,0,3,0,0,0,1,0,8,7,0,0,32
Alex Oxlade-Chamberlain,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,3,0,2,0,0,0,0,7,0,3,0,2,6
James Milner,0,6,2,0,0,0,0,0,0,0,0,0,18,0,0,2,5,0,0,6,0,4,0,0,0,0,3,5,0,0,4,9
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
