,initial_possession
Neal Maupay,18
Ezequiel Schelotto,0
Mathew Ryan,13
David Button,0
Alexis Mac Allister,0
Adam Webster,37
Solly March,0
Lewis Dunk,38
Alex Cochrane,0
Aaron Mooy,16
Jürgen Locadia,0
Aaron Connolly,4
Martín Montoya,44
Bernardo,30
Steven Alzate,26
Davy Pröpper,29
Leandro Trossard,23
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,0
Dan Burn,7
Alireza Jahanbakhsh,7
Shane Duffy,0
Florin Andone,0
Dale Stephens,0
Glenn Murray,0
Tariq Lamptey,0
Yves Bissouma,16
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
