,initial_possession
Adrián,0
Georginio Wijnaldum,12
Mohamed Salah,10
Adam Lallana,2
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,12
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,0
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,20
Joe Gomez,19
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,34
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,17
Harvey Elliott,0
Sadio Mané,14
Divock Origi,1
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,24
Trent Alexander-Arnold,27
Alex Oxlade-Chamberlain,0
James Milner,19
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
