,initial_possession
Adrián,0
Georginio Wijnaldum,8
Mohamed Salah,12
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,21
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,17
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,39
Joe Gomez,31
Curtis Jones,4
Joël Matip,0
Virgil van Dijk,36
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,6
Harvey Elliott,0
Sadio Mané,10
Divock Origi,6
Naby Keïta,24
Nathaniel Phillips,0
Jordan Henderson,13
Trent Alexander-Arnold,27
Alex Oxlade-Chamberlain,14
James Milner,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
