,initial_possession
Neal Maupay,12
Ezequiel Schelotto,0
Mathew Ryan,12
David Button,0
Alexis Mac Allister,3
Adam Webster,20
Solly March,0
Lewis Dunk,22
Alex Cochrane,0
Aaron Mooy,18
Jürgen Locadia,0
Aaron Connolly,10
Martín Montoya,0
Bernardo,6
Steven Alzate,0
Davy Pröpper,15
Leandro Trossard,13
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,9
Dan Burn,36
Alireza Jahanbakhsh,0
Shane Duffy,3
Florin Andone,0
Dale Stephens,5
Glenn Murray,0
Tariq Lamptey,41
Yves Bissouma,19
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
