,initial_possession
Neal Maupay,16
Ezequiel Schelotto,0
Mathew Ryan,16
David Button,0
Alexis Mac Allister,0
Adam Webster,22
Solly March,14
Lewis Dunk,22
Alex Cochrane,0
Aaron Mooy,27
Jürgen Locadia,0
Aaron Connolly,0
Martín Montoya,38
Bernardo,0
Steven Alzate,0
Davy Pröpper,25
Leandro Trossard,12
Tudor Baluta,0
Leon Balogun,0
Gaëtan Bong,0
Pascal Groß,0
Dan Burn,44
Alireza Jahanbakhsh,4
Shane Duffy,0
Florin Andone,0
Dale Stephens,1
Glenn Murray,0
Tariq Lamptey,0
Yves Bissouma,38
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
