,initial_possession
Adrián,0
Georginio Wijnaldum,18
Mohamed Salah,5
Adam Lallana,0
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,8
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,0
Andy Lonergan,0
Takumi Minamino,6
Andy Robertson,24
Joe Gomez,47
Curtis Jones,1
Joël Matip,0
Virgil van Dijk,32
Xherdan Shaqiri,0
Neco Williams,39
Roberto Firmino,4
Harvey Elliott,0
Sadio Mané,4
Divock Origi,10
Naby Keïta,26
Nathaniel Phillips,0
Jordan Henderson,0
Trent Alexander-Arnold,0
Alex Oxlade-Chamberlain,13
James Milner,21
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
