,Neal Maupay,Ezequiel Schelotto,Mathew Ryan,David Button,Alexis Mac Allister,Adam Webster,Solly March,Lewis Dunk,Alex Cochrane,Aaron Mooy,Jürgen Locadia,Aaron Connolly,Martín Montoya,Bernardo,Steven Alzate,Davy Pröpper,Leandro Trossard,Tudor Baluta,Leon Balogun,Gaëtan Bong,Pascal Groß,Dan Burn,Alireza Jahanbakhsh,Shane Duffy,Florin Andone,Dale Stephens,Glenn Murray,Tariq Lamptey,Yves Bissouma,Successful,Unsuccessful,Unsuccessful Pass
Neal Maupay,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,3,2,0,0,0,3,0,0,0,0,1,1,0,0,1,2,9
Ezequiel Schelotto,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Mathew Ryan,0,0,0,0,0,15,0,21,0,0,0,0,3,0,1,1,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,4
David Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Mac Allister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Webster,2,5,7,0,0,0,0,19,0,0,0,0,11,0,7,4,1,0,0,0,3,1,0,0,0,8,0,0,0,1,0,6
Solly March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Dunk,3,0,16,0,0,20,0,0,0,0,0,1,1,0,1,3,0,0,0,0,4,8,0,0,0,9,0,0,0,0,1,12
Alex Cochrane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Mooy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jürgen Locadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Connolly,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Martín Montoya,2,0,0,0,0,4,0,0,0,0,0,0,0,0,9,14,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,12
Bernardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Alzate,1,0,1,0,0,4,0,1,0,0,0,0,8,0,0,4,2,0,0,0,2,3,0,0,0,6,0,0,0,0,3,10
Davy Pröpper,4,0,1,0,0,4,0,5,0,0,0,3,8,0,6,0,0,0,0,0,7,2,0,0,0,3,0,0,0,0,0,16
Leandro Trossard,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5
Tudor Baluta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaëtan Bong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,3,0,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0,5,0,0,0,3,0,0,0,1,0,12
Dan Burn,2,0,5,0,0,3,0,10,0,0,0,1,0,0,6,4,3,0,0,0,2,0,0,0,0,14,0,0,0,0,0,7
Alireza Jahanbakhsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin Andone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,1,1,2,0,0,7,0,7,0,0,0,5,2,0,4,7,1,0,0,0,6,11,0,0,0,0,0,0,0,0,0,11
Glenn Murray,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Tariq Lamptey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Bissouma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
