,initial_possession
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,31
Tyreece John-Jules,0
Konstantinos Mavropanos,0
Reiss Nelson,7
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,31
Shkodran Mustafi,0
Alexandre Lacazette,16
Ainsley Maitland-Niles,8
David Luiz,26
Kieran Tierney,30
Dani Ceballos,16
Henrikh Mkhitaryan,0
Mattéo Guendouzi,0
Joe Willock,9
Cédric Soares,33
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,12
Pablo Marí,0
Nicolas Pépé,11
Pierre-Emerick Aubameyang,12
Héctor Bellerín,0
Eddie Nketiah,0
Sead Kolasinac,2
Bernd Leno,0
Calum Chambers,0
Lucas Torreira,17
Rob Holding,24
Matt Smith,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
