,initial_possession
Adrián,0
Georginio Wijnaldum,15
Mohamed Salah,21
Adam Lallana,1
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,26
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,29
Andy Lonergan,0
Takumi Minamino,2
Andy Robertson,43
Joe Gomez,31
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,41
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,12
Harvey Elliott,0
Sadio Mané,0
Divock Origi,0
Naby Keïta,6
Nathaniel Phillips,0
Jordan Henderson,29
Trent Alexander-Arnold,39
Alex Oxlade-Chamberlain,14
James Milner,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
