,initial_possession
Adrián,0
Georginio Wijnaldum,32
Mohamed Salah,11
Adam Lallana,31
Dejan Lovren,0
Rhian Brewster,0
Alisson Becker,19
Caoimhín Kelleher,0
Ki-Jana Hoever,0
Fabinho,0
Andy Lonergan,0
Takumi Minamino,0
Andy Robertson,36
Joe Gomez,27
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,25
Xherdan Shaqiri,0
Neco Williams,0
Roberto Firmino,10
Harvey Elliott,0
Sadio Mané,14
Divock Origi,0
Naby Keïta,7
Nathaniel Phillips,0
Jordan Henderson,25
Trent Alexander-Arnold,41
Alex Oxlade-Chamberlain,0
James Milner,3
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
